"op","n","pkg","rep","seconds","rows"
"connect",2,"duckspatial",1,0.369,2
"connect",2,"duckspatial",2,0.0368,2
"connect",2,"duckspatial",3,0.0284,2
"connect",2,"duckspatial",4,0.0284,2
"connect",2,"duckspatial",5,0.0281,2
"connect",2,"duckspatial",6,0.0287,2
"connect",2,"duckspatial",7,0.0295,2
"connect",2,"duckspatial",8,0.0281,2
"connect",2,"duckspatial",9,0.0279,2
"connect",2,"duckspatial",10,0.0287,2
"connect",2,"duckspatial",11,0.0302,2
"connect",2,"duckspatial",12,0.0287,2
"connect",2,"duckspatial",13,0.0277,2
"connect",2,"duckspatial",14,0.0289,2
"connect",2,"duckspatial",15,0.0285,2
"connect",2,"duckspatial (second call)",1,0.0278,2
"connect",2,"duckspatial (second call)",2,0.0291,2
"connect",2,"duckspatial (second call)",3,0.0313,2
"connect",2,"duckspatial (second call)",4,0.0267,2
"connect",2,"duckspatial (second call)",5,0.0269,2
"connect",2,"duckspatial (second call)",6,0.029,2
"connect",2,"duckspatial (second call)",7,0.0271,2
"connect",2,"duckspatial (second call)",8,0.0255,2
"connect",2,"duckspatial (second call)",9,0.0288,2
"connect",2,"duckspatial (second call)",10,0.0262,2
"connect",2,"duckspatial (second call)",11,0.0286,2
"connect",2,"duckspatial (second call)",12,0.0255,2
"connect",2,"duckspatial (second call)",13,0.0251,2
"connect",2,"duckspatial (second call)",14,0.0284,2
"connect",2,"duckspatial (second call)",15,0.0269,2
"join",100000,"geoarrowrs",1,0.0261,47309
"join",100000,"geoarrowrs",2,0.0181,47309
"join",100000,"geoarrowrs",3,0.0139,47309
"join",100000,"geoarrowrs",4,0.0471,47309
"join",100000,"geoarrowrs",5,0.0135,47309
"join",100000,"geoarrowrs",6,0.0137,47309
"join",100000,"geoarrowrs",7,0.0173,47309
"join",100000,"geoarrowrs",8,0.0142,47309
"join",100000,"geoarrowrs",9,0.015,47309
"join",100000,"geoarrowrs",10,0.0178,47309
"join",100000,"geoarrowrs",11,0.0142,47309
"join",100000,"geoarrowrs",12,0.0168,47309
"join",100000,"geoarrowrs",13,0.0155,47309
"join",100000,"geoarrowrs",14,0.0151,47309
"join",100000,"geoarrowrs",15,0.0182,47309
"join",100000,"duckspatial",1,0.3601,47309
"join",100000,"duckspatial",2,0.1151,47309
"join",100000,"duckspatial",3,0.1124,47309
"join",100000,"duckspatial",4,0.1247,47309
"join",100000,"duckspatial",5,0.1313,47309
"join",100000,"duckspatial",6,0.1256,47309
"join",100000,"duckspatial",7,0.1392,47309
"join",100000,"duckspatial",8,0.1307,47309
"join",100000,"duckspatial",9,0.0958,47309
"join",100000,"duckspatial",10,0.1006,47309
"join",100000,"duckspatial",11,0.1677,47309
"join",100000,"duckspatial",12,0.0961,47309
"join",100000,"duckspatial",13,0.0961,47309
"join",100000,"duckspatial",14,0.0942,47309
"join",100000,"duckspatial",15,0.0968,47309
"join",100000,"sedonadb",1,0.1245,47309
